"","B1","C1","D1","E1","F1","G1","H1","A2","B2","C2","D2","E2","F2","G2","H2","A3","B3","C3","D3","E3","F3","G3","H3","A4","B4","C4","D4","E4","F4","G4","H4","A5","B5","C5","D5","E5","F5","G5","H5","A6","B6","C6","D6","E6","F6","G6","H6","A7","B7","C7","D7","E7","F7","G7","H7","A8","B8","C8","D8","E8","F8","G8","H8","A9","B9","C9","D9","E9","F9","G9","H9","A10","B10","C10","D10","E10","F10","G10","H10","A11","B11","C11","D11","E11","F11","G11","H11","A12","B12","C12","D12","E12","F12","G12","H12"
"ISO.10",7.55058942646695,18.845143803926,48.976694225411,45.5822181047014,16.7702692320424,4.00332364701171,4.58108171342102,22.5515805820561,30.4905531730756,0,56.0939179031126,18.9488728522372,16.7302316581137,28.8876052993949,22.3702452808277,0,47.4379404012859,25.8176981359178,0,0.0394725731172514,23.0282977485706,15.6913045226353,30.9067504202946,47.5644514043339,0.81533523378274,15.5399332597443,35.8686455405872,23.2980476903902,31.8648983582899,14.9602118535199,15.1021733601381,0,38.3467578271066,29.3628105984033,2.5513344276181,24.2092178333026,9.17469026230074,23.6821439425993,27.7739985081707,7.54710189948675,33.8342318582293,28.6047671368322,24.1681962306204,39.1367738183443,27.5224578471836,1.10873862978904,17.3017556139931,12.9336926091091,48.7473413717494,2.17760215185828,1.3052342081167,59.7193301799669,16.2041585467374,3.75538798693,16.3570668958828,28.806056511692,25.2685883002363,43.5409283234982,38.2246084923095,2.00823833408241,2.22844356423557,33.1782141606107,0,35.6573554690476,46.4611782398163,40.4549601331843,0.702664638182805,39.0554982385098,2.40906250078849,3.02892243553915,0,28.1506831398369,8.00076450831526,19.3989483567997,4.47318185987936,0.97642909197285,14.2180465961768,15.6652977663,0,24.6484163479616,44.7152261733561,46.2259937474776,36.2479508317119,1.07602167767479,22.0403085934552,16.7619960702975,0,54.5968137091968,55.5907125212709,53.3757836687984,43.929115104367,33.4751446273009,30.7066729068999,23.0859497677478,0
"ISO.18",5.81276774294415,4.25113522263469,38.7739091739578,6.31706661667024,25.4158286043052,0.988909141678803,3.19557860679683,21.9126176331814,0,0,41.6242612377331,13.1512032571392,11.6496595684706,29.6501429429347,2.48606013219419,0,43.9909999739192,15.0811370549423,44.8345154182447,0.36010161018632,17.9358658882943,2.96386512620625,3.51426239649793,34.7348771988001,26.9646944311687,9.86587675861722,38.1199628049428,36.1462949103204,22.4358944510364,12.373141309642,6.76002455385589,0.87097745484611,41.6295423084297,22.315551588526,1.27477868812092,21.6374810422365,20.2033246169783,27.299154973352,8.07228461907781,5.17722361839273,8.07553022804662,28.7907152225231,38.9335500414289,22.346253807068,14.9848339871197,25.2817896254994,19.6838007211466,11.8510568358225,36.0352673338299,21.5966207456289,0.65834763242438,46.5005412238191,15.3910927307287,1.81008885197336,0,6.23610025678239,29.1159525434797,27.2088021923654,35.5348515010578,4.93141114035766,1.42305612862355,13.9843405927688,0,29.0185841404512,41.7707201253101,4.6682099370693,9.62173233192465,46.9706997670526,0.941933070024718,9.82331959007,23.8522209213877,2.67476020135816,3.25121134081201,16.5064063441599,2.99904431085845,14.4294319750698,15.8924029943976,3.52440317397905,1.65008897734154,29.3909197113301,18.4142225214849,23.9348626389028,42.605993998028,0.760610760916628,9.12094997159613,4.03529353982596,0,45.1622133817964,43.1237706763171,36.3305024157358,25.2893979794953,33.4813248259755,23.7863858865962,9.75239844231106,0.486663560542
"ISO.21",9.14973467811999,5.38246288292151,67.4748709898087,35.2695799960825,55.3494333247476,20.8043596090161,3.22357242693317,26.056384632873,53.8718620899014,0,54.0264108541265,26.0622568412283,19.504467652041,58.447037266645,35.1889866221015,0,57.4897127530778,13.2602427618376,51.4054613360179,0.58520579318165,27.9755984777776,26.3053073084843,8.65757731255025,65.7373679356001,58.9693229791185,26.335544111906,56.0939503442264,81.2846686498184,46.4944091350903,27.059305150521,15.8311624952093,1.08870840445168,51.0701147076018,34.9048425405754,5.89296748356043,20.4849149256328,43.6372074547362,25.8234767239091,46.3558633490029,67.3478742983118,12.8482280442665,40.1875857648595,66.8421521616321,49.1034488169615,44.4611039742058,15.4563648662198,24.2441473746701,3.75753979131461,51.7339196255745,26.8014384245308,33.8759297770896,47.0892429163426,21.9568777974938,6.34094584811406,0.731062031643477,8.87122206085775,24.7505344920213,54.9915428864142,50.8672017715224,2.0830833345287,3.57621579481435,43.2925221023041,0,43.6678184553391,48.630192844747,4.06906526266161,44.740753388641,56.2613641554799,3.26655432223734,15.5129307935442,30.1534015900661,17.7153890363871,4.87784019773729,54.0257817407694,5.79859436271537,49.7350680082168,23.1540263280413,28.4169043923782,0,42.0145162051967,35.6698909846459,49.04357232176,46.251431652712,1.67073098305688,26.4357154224244,21.2596709564925,0,56.7826971180828,50.5474274429083,46.5954868386551,49.8590602542007,56.3593285836278,35.7212394782851,34.4618873189916,0.705086045481398
"ISO.25",5.96511131777021,13.0833803212405,69.1429689039329,79.0100576128789,33.8303588612404,19.7249352971738,9.99093579437704,29.1966443622963,68.0266800876276,0,61.2404343560912,7.29211900360253,18.4733862770275,70.594650484966,28.1930215431829,4.83595317147515,50.3355032833993,32.7212644882727,75.2699906160522,4.87316375032805,25.2362686840022,18.9880146282429,29.5477387959431,46.9050698126984,74.7938181947316,64.3228552999792,67.2013824230781,68.7689171364368,38.754169041019,24.4455390173954,25.8083180712935,2.24670162252066,66.9567003183392,36.4301047885325,17.9596185925552,34.0568825313615,38.3558995827165,21.4425312122522,27.505590531575,74.6868641909942,40.6134697047185,44.5834852956217,64.4777887637154,51.6063220344136,24.8404829355977,23.0947278028182,18.0102354258959,29.342155185422,55.5180451858547,27.9765362285842,40.6272943708463,61.3504223656336,25.23771621516,24.7018180020438,6.76580133429564,39.3349447447192,38.8951664419999,59.3379814510379,56.0244782250619,10.8517242111281,2.56809028682114,26.0719047090417,0,65.5014948764099,64.8742372770735,60.4723101794914,65.0119533153049,61.2896785885821,9.04677375868436,15.934411268012,11.8863135798401,75.0101540425203,35.9803341248916,59.646523003934,22.7940671555918,50.9906804504482,29.8117443295278,15.9563465951551,7.16701736826012,55.0133224039315,44.4783210266088,58.9727932245819,51.9392124827627,24.8789941638792,23.8917079975106,14.2140007751432,0,58.8102839970906,55.5961254690698,66.2673865909967,41.2456248097505,55.4675843737361,29.5877021498834,21.8651398549672,1.75746761115427
"ISO.27",0,0,36.1562322080994,37.5061600069597,12.2015273755513,0,0,20.8245377902539,0,0,35.2928625662661,1.25072902967553,6.91493344618143,4.4618846557797,0.545552650881277,0,30.374286635822,11.061594678415,0,0,8.03131239385251,0,0,31.5913005644456,37.7514542173932,6.77915416965066,35.9895663670527,12.6733481971729,10.3613815647224,4.54075393459138,0.735077720106613,0,33.7638015268443,25.6746408531813,0,0,0,0,1.78014169087143,35.5206887880969,36.6331459218192,0,24.423746440105,31.9020708445708,0,0,0,2.26488735290854,43.9919596025549,0,0,0,2.29475986090906,0,0,0,16.5129491581264,11.7021800061102,34.9913617504352,0,0,14.9963076973983,0,35.8042478417445,34.8160330309843,0,0,22.0074226923733,0,0,0,30.8937834458178,14.7672723983391,0,2.69434715006542,0,0,0,0,11.3471212336199,30.2937292441849,40.0815211561373,36.5180660760595,0,5.97690705057453,0,0,32.8718664546744,31.5050173533941,39.7014371502968,32.7333563219414,20.9197527009065,3.57010486074912,4.82415489480611,0
"ISO.35",4.28041565159169,9.03722296195845,68.1537441401132,58.774439425947,39.0627712834869,3.1398600804064,4.72981347404982,32.9525212862668,0,6.6433108565672,62.3888606323493,20.8442480023905,17.0667871271113,33.6729025076527,27.4277036238362,0,55.3911207043283,21.2026064919751,50.2775372157809,0,33.343339826553,11.1198013280863,29.2472633270562,50.1213471934776,6.24546454052709,9.49174785628357,58.2738061832984,5.68245596484408,32.423861646329,20.8561796268644,5.39021426345491,0,67.8766243887282,43.0874385617742,2.95814989264716,0,4.76070482678066,23.1679722080401,21.0671517999492,0.610668210022775,52.6131756882225,47.1868119622797,57.0286354750812,59.5510458869956,1.39319697754876,8.86206864287842,20.4875610763755,25.1857165770138,56.362496471355,1.01021495676432,51.8328448407721,58.9448641770607,19.9298923544258,2.13741206145514,0,27.1238510971692,32.6646902303027,56.2482853171055,57.5669328715202,1.48290434499586,3.87078706471664,31.0669234330215,0,55.7798512231996,62.2162974026269,53.8943048165619,23.5133914206606,53.4577339504844,6.07858369540445,4.94446707765377,0,7.21763250501786,12.0993391335034,57.5598574115508,9.17488739763435,54.3375345541456,21.2281633778424,20.1778349096799,0,30.5012874754227,49.605175053343,57.135546256337,57.8267278853172,0,23.0488289311277,16.3654070227171,0,52.4475268852212,56.6135229189651,61.3265563600456,44.8190928113405,55.136192926314,24.5664800235018,21.3761608751987,0
"ISO.40",10.1114432933934,5.77153774795735,30.9612432685785,52.228915211751,30.2105697022195,15.0092801980983,3.09200622333088,22.0688224490008,48.543450344541,0,40.8253247003854,10.8703383880192,9.73494980317888,30.1357502613542,16.8873306412086,0.759871404925839,45.6011656695753,10.5196876271935,39.7552914560929,0,18.0702461791081,15.5508906158873,20.1379401522389,42.9223622636039,27.4503717658463,22.4578006284098,36.2874891757755,40.1936465793556,29.1331961891001,16.5935019502605,23.9534018335093,0,37.1813392772686,26.6505929335477,13.3051692883093,14.9176414073695,25.3830448986188,0,11.4012907704271,40.4853574715364,16.7816587497949,28.7028195305387,37.3842502145764,40.9416471200365,26.7668168694807,10.4298657184115,15.9342734324173,0.742569292189327,33.4464526444616,23.241116500968,34.0715870010244,43.5450826029117,19.6628624154511,11.334796338087,4.46874815716315,7.67163378093343,17.806040109192,21.7773852869221,43.951085322748,1.18228751920896,3.49263312647644,18.3606672902677,0,33.9371529996525,45.6440631041032,2.14613995324758,39.3976965739084,42.522022401266,3.56065502592848,20.6806703997937,16.0688852514409,6.29420727804633,3.12354343651112,37.3845840733167,8.17985689213403,42.7474775304056,8.50788798912744,17.184262256126,0.774986470893465,18.6815272886812,30.3788376809643,46.9700174939373,36.3601184186955,4.70854717246672,12.8093484084421,12.2297580284299,0.197439737755797,44.8055669909509,30.8973219956333,38.7138454920296,32.4755770377225,36.8247003807932,24.4732694674022,18.2201295422191,1.12700723046432
"ISO.41a",8.07869588076082,23.9613323317794,33.6039322700383,6.59829513050642,27.1183832569455,11.3083653787628,0.526539724466861,34.9751401890986,37.7375807790457,0,46.6908960196477,11.425005903479,19.6138701478339,46.2321242096755,10.0014783915337,0.352834894780399,40.8050552521032,21.3399456168642,45.7403634854679,0,22.4035361205367,6.83980466985434,39.0510372532337,63.6677006266881,25.2053899668685,29.0239069718742,36.3243429153225,41.4699616825646,36.0480699682946,18.0758087989874,27.0854450514291,0,44.7709165620492,25.6334863096941,8.24479576886041,24.3724657562697,21.5567592973778,5.38420932461175,28.5241464294057,12.6232376241253,16.1252004978514,33.9210673839667,40.506089973798,34.1874632521904,41.6253144694997,23.8204517760636,19.2629449939724,6.09177284647712,37.5961247912709,36.4414147543444,2.7584023447512,53.0225340578555,8.4676852997146,9.09983356009106,3.05008296891278,9.99154389236336,10.2128739876321,44.3122832186153,34.6689075393585,10.0450629478049,2.01362693747588,24.4825872350356,0,24.3290440525658,39.2710061676694,38.0550555660394,47.5518529887152,47.8709878594978,4.98969375644748,4.93766894584474,17.447357282812,26.3709781065708,1.54242926867056,45.4199379491489,3.21389749278453,44.2574358356733,27.8820850560661,20.8103554597554,6.03019545257242,15.7014076032743,28.5298488206732,43.1465157448711,35.1297279756136,0.401378689997683,14.9869941700524,16.6414755179158,0,50.9043752003781,41.501549774835,37.1136032329257,33.0479224308763,38.1358675805093,29.3359849826528,29.149895762229,0.968966578953413
"ISO.44",8.19289045922801,5.75298353970542,40.0437784144008,50.0502036822314,43.5604018744886,16.4357559080785,1.51168523410539,23.9544477405056,58.4585625193989,0,57.0420900886505,15.6630044180407,13.7366129043673,49.9447057178877,30.1045634738443,0,49.7275724192217,11.5879243397384,49.0246868388171,0,26.5788863325579,23.0167829363849,27.4527637375846,51.5594811132146,58.8642997684943,45.11313238397,54.1091628595458,47.0491782061679,41.0702188843174,19.1481222312239,29.1355331505302,0,48.6401672688097,28.3797982862835,2.84429527556367,41.2150048069566,37.4187208427765,31.2159753551637,18.484712460115,39.2771028793858,30.1337209563354,31.2911211085616,41.2050800023349,39.9805840818096,37.0119352185451,14.3805865361375,22.7522311613329,10.9920699794273,44.7512254649798,21.3748218112826,43.819009398141,49.5627763474681,25.6835733191321,21.9966352020087,0.409171892338701,1.82474632026893,26.1708266397482,43.4841746549286,48.8072237485107,1.20403304281632,1.59994425733391,27.1569294841443,0,38.7800041443706,56.2970057261666,4.77935909733031,44.9857775170401,52.0656895229535,3.42908708627912,17.2479739860266,23.327487063421,36.0803486868647,0.667894487947626,54.5010129974501,6.12890251210309,44.6090660435929,18.8225325626394,22.0678380225006,0.511766983752308,30.3028463477062,30.6862499004955,45.7808210624884,38.4212415639152,1.25921208546031,18.974987037971,19.4175069656027,0,49.9963322289975,52.4865830284471,47.3580849104941,31.3152044524299,47.3786660523948,32.5901004995354,21.8294404833091,0
"ISO.6",7.79314141684659,17.905723154445,52.9124449629757,10.6217944222165,36.8767702216633,21.2425800914237,1.32942401863177,30.5570440406288,0,0,45.7156535418219,12.8263138702314,16.2570034149138,35.3744204488909,25.1335794279929,0,47.6769179011311,24.6112202687453,33.9535396823155,2.62034975121823,24.9850342409655,20.8866579820746,1.54058551569389,37.2299630506173,42.2781103728471,37.3570738169084,53.0550044106785,45.7619858537752,20.2858656538279,21.0390348273241,12.3674599645897,0,41.6686033265197,26.3431863257864,10.8980439445486,35.2844230536908,27.2127866556942,7.8801502654606,0.86216503143778,27.0437925334842,25.7674609541477,33.8316419502111,45.5905620490638,49.2682815697357,21.8936912075716,0.585226837230614,21.6875251769578,35.9961398243445,45.3293688161257,32.9365458033229,1.35660732800972,52.5994444440287,23.907077975535,4.9814640224278,0,13.0189993381639,27.8513785563328,49.1982753374669,55.1371419313841,2.11657619486566,1.52657942688991,38.2468092496757,0,41.3860607842446,50.9903394709768,42.1034708028475,13.4453413190946,57.4686052285355,8.76721615501143,17.178710407428,25.2157009552354,50.223421724103,33.5066706576326,20.2156493547686,12.0194280621124,0,28.8312716434189,34.2853592032764,2.03000146171387,18.4387027499328,30.9515447489614,55.8528457178651,47.6229765237698,5.6971150230465,21.2367407893073,25.4211840906429,0,45.8931953299149,46.0132988978304,55.8679275796687,47.4408544082065,47.1301088815262,33.60838021966,26.414955187047,0
